Card ID,Title,Category,Use Case,Tags,Status,Source,Assigned Memory Path,Associated Agent,Curator,Relevance to Aixtiv,Agent Benefit,Suggested Blog Title
AIX.STRAT.011,AIx Prompt Execution Ladder,Prompt Frameworks > Strategic Execution,Helps leaders sequence prompts from awareness to implementation,"strategy, ladder, execution, prompt sequencing",Converted,Prompt sequence infographic,/memoryc2100bplan,Dr. Grant,PR,Powers strategic workshops and prompt training paths,Creates intelligent sequencing for vision-to-delivery tasks,Climbing the Prompt Ladder: A New Model for Strategic Execution
AIX.BLOG.012,Blog Expansion Framework Prompt,Prompt Frameworks > Content Expansion,"Transforms blog ideas into outlines, paragraphs, SEO-rich articles","blog, prompt, content expansion, writing",Converted,Prompt promptboard,/memoryc2100bplan,QBLucy,PR,Supports rapid scaling of publishing and visibility strategies,Auto-generates full blogs from bullet outlines,From Bullet to Blog: The Prompt System That Writes for You
AIX.RISK.013,Pre-Mortem Prompt Card,Decision Tools > Strategic Risk,Simulates future failure scenarios to prevent strategic breakdowns,"risk, planning, failure prevention, leadership",Converted,Cognitive framework card,/memoryc2100bplan,Dr. Grant,PR,Used in high-stakes planning across Vision Lake strategies,Helps predict and model what could go wrong in new rollouts,Think Like a Futurist: Prompting for Strategic Failure
AIX.TASK.014,Task Block Productivity Prompt,Prompt Frameworks > Time Management,"Organizes work into optimized, mentally aware segments with AI assistance","tasks, focus, productivity, time-blocking",Converted,Task prompt board,/memoryc2100bplan,Dr. Sabina,PR,Boosts agent-assisted productivity workflows for creators,Structures energy-aware task sprints with accountability,Task-Blocking with AI: A New Rhythm for Creative Flow
AIX.SOCIAL.015,Social Media Carousel Prompt Builder,Prompt Frameworks > Marketing & Engagement,Guides AI to generate 10-post visual carousels from one core idea,"social media, carousels, prompt, visuals",Converted,Engagement prompt board,/memoryc2100bplan,Dr. Match,PR,Expands visibility across channels using AI-driven storytelling,Enables agents to convert ideas into campaigns instantly,Carousel Alchemy: Turning One Idea into Ten Slides with AI
AIX.VOICE.016,Voice Tone Personalization Prompt,Prompt Frameworks > Brand Consistency,"Adjusts AI output tone based on brand emotion, voice archetypes, and audience type","voice, tone, emotion, personalization, brand",Converted,Prompt architecture diagram,/memoryc2100bplan,QBLucy,PR,Maintains tone integrity across all brand communications,Allows AI agents to adapt tone for different audiences and platforms,Teaching AI to Feel: Prompting Emotional Tone in Agent Output
AIX.CAMPAIGN.017,Campaign Launch Prompt Tree,Prompt Frameworks > Marketing Campaigns,Builds coordinated AI-driven campaign sequences with stages and CTA paths,"campaign, marketing, launch, call-to-action",Converted,Campaign flow visual,/memoryc2100bplan,Dr. Match,PR,Enables scalable AI-assisted campaign orchestration,Creates multi-step launch flows from one central message,From Message to Movement: Designing Agentic Campaigns with Prompts
AIX.PDF.018,PDF-to-Insights Prompt Stack,Agentic Workflows > Document Automation,Extracts insight summaries and CSV-ready values from complex PDFs,"document AI, PDF, insight extraction, csv",Converted,QuantBuild tool visual,/memoryc2100bplan,Dr. Burby,PR,Automates document understanding inside estimation workflows,Turns unstructured PDFs into usable data for estimation and modeling,Smart PDF Parsing: How Your Agent Can Summarize Anything
AIX.VIDEO.019,Video Summary & Tagging Prompt,Prompt Frameworks > Multimodal AI,Summarizes and tags AI-generated or uploaded video content,"video, prompt, tags, summary, multimodal",Converted,Multimodal prompt card,/memoryc2100bplan,Dr. Sabina,PR,Expands content classification and remix across media types,Processes visual/audio into narrative summaries for reuse,The Video Whisperer: Tagging and Summarizing Like a Multimodal Pro
AIX.SEARCH.020,Agentic Research Prompt Builder,Prompt Frameworks > Insight Generation,Guides agents to run fast competitive or trend research across structured and unstructured data,"research, prompt, market, trend, AI",Converted,AI research guide upload,/memoryc2100bplan,Professor Lee,PR,Builds custom prompt stacks for intelligence briefings,Allows agents to act as insight compilers across market categories,From Query to Quick Insight: Building the Research Copilot You Always Wanted
AIX.AGENDA.021,AI-Powered Meeting Agenda Builder,Prompt Frameworks > Business Operations,"Automates meeting agenda creation based on role, context, and objectives","agenda, meeting, automation, roles",Converted,Agenda planner board,/memoryc2100bplan,Dr. Grant,PR,Enhances productivity in executive briefings and stakeholder prep,Removes friction from planning and automates purpose-driven meetings,The No-Fluff Agenda: How AI Runs Your Meetings Smarter
AIX.TEMPLATE.022,Modular AI Template Prompt Grid,Prompt Frameworks > Template Generation,"Builds scalable, reusable AI templates across business domains","templates, modularity, reuse, scalability",Converted,Template logic visual,/memoryc2100bplan,Dr. Match,PR,Creates reusable business assets from a single prompt entry point,Accelerates design sprints and content infrastructure builds,"Design Once, Use Forever: The Rise of Modular AI Templates"
AIX.PERSONA.023,Customer Persona Prompt Matrix,Prompt Frameworks > Market Segmentation,Generates tailored personas and emotional drivers for targeting campaigns,"persona, customer, psychology, segmentation",Converted,Persona generation prompt map,/memoryc2100bplan,Dr. Sabina,PR,Improves personalization and engagement across all content,Equips agents with deep customer psychographics for better targeting,Prompting the Soul of Your Buyer: Persona Crafting with AI
AIX.SWOT.024,SWOT Analysis Prompt System,Prompt Frameworks > Strategic Analysis,"Guides AI to evaluate strengths, weaknesses, opportunities, and threats","SWOT, strategy, analysis, planning",Converted,Strategic analysis card,/memoryc2100bplan,Dr. Grant,PR,Supports company positioning and quarterly planning sprints,Delivers boardroom-level clarity for founders and strategy leads,"SWOT Prompting: Clarity in 4 Boxes, Powered by AI"
AIX.TRENDS.025,Trend Analysis Prompt System,Prompt Frameworks > Advanced Tools,Trend analysis with AI to identify emerging market shifts,"prompt, AI, strategy, productivity, personalization",Converted,Visual prompt card,/memoryc2100bplan,Professor Lee,PR,Powers core workflows and innovation accelerators across Symphony,Tracks AI-identified shifts across industry datasets,Staying Ahead of the Curve: AI Trend Spotting in Action
AIX.SCRIPTS.026,Sales Script Generator Prompt,Prompt Frameworks > Advanced Tools,AI builds customer-adaptive pitch scripts from persona inputs,"prompt, AI, strategy, productivity, personalization",Converted,Visual prompt card,/memoryc2100bplan,Dr. Match,PR,Powers core workflows and innovation accelerators across Symphony,Speeds sales team preparation with tone-matched dialog,Selling with Scripts: AI Sales Conversations That Convert
AIX.ETHICS.027,Ethical Risk Prompt Matrix,Prompt Frameworks > Advanced Tools,Simulates consequences of AI decisions across bias and harm axes,"prompt, AI, strategy, productivity, personalization",Converted,Visual prompt card,/memoryc2100bplan,Dr. Grant,PR,Powers core workflows and innovation accelerators across Symphony,Guides responsible design and testing of high-risk agent behaviors,Prompting Ethics: Designing Safer Agents
AIX.FEEDBACK.028,AI Feedback Loop Builder,Prompt Frameworks > Advanced Tools,Creates systems for agents to self-reflect and improve from task results,"prompt, AI, strategy, productivity, personalization",Converted,Visual prompt card,/memoryc2100bplan,QBLucy,PR,Powers core workflows and innovation accelerators across Symphony,Lays foundation for AI self-improvement and user trust loops,Teaching AI to Learn from Itself
AIX.COURSE.029,Rapid Course Design Prompt,Prompt Frameworks > Advanced Tools,"Outlines course content, quizzes, and learning modules from a title","prompt, AI, strategy, productivity, personalization",Converted,Visual prompt card,/memoryc2100bplan,Professor Lee,PR,Powers core workflows and innovation accelerators across Symphony,Speeds creation of AI-generated mini-courses,The AI Professor: Designing Lessons in Minutes
AIX.ELEVATOR.030,Elevator Pitch Prompt,Prompt Frameworks > Advanced Tools,"Refines mission pitches into 30s, 1m, and 5m versions","prompt, AI, strategy, productivity, personalization",Converted,Visual prompt card,/memoryc2100bplan,Dr. Burby,PR,Powers core workflows and innovation accelerators across Symphony,"Boosts clarity in investor, partner, or internal influence moments",Perfect Your Pitch with the 30-Second Prompt
AIX.ROLE.031,Role Alignment Prompt System,Prompt Frameworks > Advanced Tools,Assigns tasks by matching personality and skill archetypes,"prompt, AI, strategy, productivity, personalization",Converted,Visual prompt card,/memoryc2100bplan,Dr. Sabina,PR,Powers core workflows and innovation accelerators across Symphony,Boosts team alignment and delegation efficiency,"Right Role, Right Prompt: The Human-AI Matching Guide"
AIX.MAP.032,Strategic Map Prompt Grid,Prompt Frameworks > Advanced Tools,Builds interactive planning maps with milestones and dependencies,"prompt, AI, strategy, productivity, personalization",Converted,Visual prompt card,/memoryc2100bplan,Dr. Grant,PR,Powers core workflows and innovation accelerators across Symphony,Clarifies big-picture objectives and cross-team impact,The Strategic Map Prompt That Plans It All
AIX.TRANSLATE.033,Cross-Cultural Translation Prompt,Prompt Frameworks > Advanced Tools,Adapts messages for tone and clarity across cultures,"prompt, AI, strategy, productivity, personalization",Converted,Visual prompt card,/memoryc2100bplan,QBLucy,PR,Powers core workflows and innovation accelerators across Symphony,Maintains cultural integrity while scaling global content,Tone Without Borders: Prompting Across Cultures
AIX.RAG.034,RAG Source Stitching Prompt,Prompt Frameworks > Advanced Tools,Orchestrates multi-source RAG pipelines using agents,"prompt, AI, strategy, productivity, personalization",Converted,Visual prompt card,/memoryc2100bplan,Professor Lee,PR,Powers core workflows and innovation accelerators across Symphony,Improves fact-checking and doc-based agent answers,Building Smarter Agents: How Prompting RAG Builds Intelligence
AIX.RESUME.035,Resume + Bio Optimizer Prompt,Prompt Frameworks > Advanced Tools,Strengthens job candidate or founder bios for clarity and positioning,"prompt, AI, strategy, productivity, personalization",Converted,Visual prompt card,/memoryc2100bplan,Dr. Match,PR,Powers core workflows and innovation accelerators across Symphony,Improves professional storytelling and presentation,Rewrite Your Resume with the Right AI Prompt
AIX.CALENDAR.036,Timeblocking Prompt Assistant,Prompt Frameworks > Advanced Tools,Matches energy peaks to work block design for full-day optimization,"prompt, AI, strategy, productivity, personalization",Converted,Visual prompt card,/memoryc2100bplan,Dr. Sabina,PR,Powers core workflows and innovation accelerators across Symphony,Protects focus zones and creative time with intentional prompt habits,The Calendar Whisperer: AI Blocking for Brains
AIX.ONBOARD.037,AI Onboarding Prompt Kit,Prompt Frameworks > Advanced Tools,Creates 7-day ramp-up for new hires guided by AI agents,"prompt, AI, strategy, productivity, personalization",Converted,Visual prompt card,/memoryc2100bplan,Dr. Grant,PR,Powers core workflows and innovation accelerators across Symphony,Standardizes internal knowledge delivery by agent role,The 7-Day Onboarding Prompt Program
AIX.STYLE.038,Brand Style Prompt Lens,Prompt Frameworks > Advanced Tools,"Aligns visuals, text, and voice to a brand style guide","prompt, AI, strategy, productivity, personalization",Converted,Visual prompt card,/memoryc2100bplan,Dr. Match,PR,Powers core workflows and innovation accelerators across Symphony,Maintains brand cohesion across campaigns,Through the Lens: Style Prompting in the Age of Agents
AIX.REWRITE.039,Rewrite for Simplicity Prompt,Prompt Frameworks > Advanced Tools,Simplifies complex writing for younger or broader audiences,"prompt, AI, strategy, productivity, personalization",Converted,Visual prompt card,/memoryc2100bplan,QBLucy,PR,Powers core workflows and innovation accelerators across Symphony,Broadens reach and inclusivity of communication,Smart Yet Simple: Rewrite Prompts that Everyone Understands
AIX.VISION.040,Vision Statement Prompt Generator,Prompt Frameworks > Organizational Intelligence,Crafts mission and vision statements from founder goals,"prompt, strategy, behavior, business, automation",Converted,Structured prompt upload,/memoryc2100bplan,Dr. Grant,PR,"Supports decision, policy, narrative, and product flows across Symphony","Clarifies alignment, values, and North Star direction",The Vision Statement Prompt That Sees the Future
AIX.HIRING.041,Smart Hiring Prompt Stack,Prompt Frameworks > Organizational Intelligence,"Writes role ads, scorecards, and interviews by competency","prompt, strategy, behavior, business, automation",Converted,Structured prompt upload,/memoryc2100bplan,Dr. Sabina,PR,"Supports decision, policy, narrative, and product flows across Symphony",Improves culture-aligned talent selection,Hiring with Intelligence: Prompt-First Recruiting
AIX.CONFLICT.042,Conflict De-escalation Prompt Guide,Prompt Frameworks > Organizational Intelligence,Prompts AI to resolve disagreements with empathy and logic,"prompt, strategy, behavior, business, automation",Converted,Structured prompt upload,/memoryc2100bplan,QBLucy,PR,"Supports decision, policy, narrative, and product flows across Symphony",Supports agents and teams in high-stakes or tense moments,Peace in Prompts: AI Conflict De-escalation Tools
AIX.ROADMAP.043,Product Roadmap Generator,Prompt Frameworks > Organizational Intelligence,Maps launches across quarter or year with AI support,"prompt, strategy, behavior, business, automation",Converted,Structured prompt upload,/memoryc2100bplan,Dr. Burby,PR,"Supports decision, policy, narrative, and product flows across Symphony","Aligns goals, launches, and resource timelines",Roadmapping the Future: Prompt Your Next Big Launch
AIX.MEME.044,Meme Generator Prompt Formula,Prompt Frameworks > Organizational Intelligence,Creates meme layouts and captions from core insight,"prompt, strategy, behavior, business, automation",Converted,Structured prompt upload,/memoryc2100bplan,Dr. Match,PR,"Supports decision, policy, narrative, and product flows across Symphony",Expands reach and humor-driven learning,"Make 'Em Laugh, Make 'Em Learn: Meme Prompt Science"
AIX.POLICY.045,Policy & Compliance Prompt Builder,Prompt Frameworks > Organizational Intelligence,"Structures workplace policies with tone, law, and inclusion filters","prompt, strategy, behavior, business, automation",Converted,Structured prompt upload,/memoryc2100bplan,Dr. Grant,PR,"Supports decision, policy, narrative, and product flows across Symphony",Automates fair and forward-looking corporate standards,Policy Prompting for the AI-Ready Workplace
AIX.SUMMARY.046,Longform Summarization Prompt,Prompt Frameworks > Organizational Intelligence,Reduces large documents or transcripts into core insights,"prompt, strategy, behavior, business, automation",Converted,Structured prompt upload,/memoryc2100bplan,QBLucy,PR,"Supports decision, policy, narrative, and product flows across Symphony","Speeds up research, training, and audit comprehension",Summarize Anything: Prompt Systems for Content Compression
AIX.BRAND.047,Brand Positioning Prompt Deck,Prompt Frameworks > Organizational Intelligence,"Clarifies brand archetype, niche, differentiators and story","prompt, strategy, behavior, business, automation",Converted,Structured prompt upload,/memoryc2100bplan,Dr. Match,PR,"Supports decision, policy, narrative, and product flows across Symphony","Aligns voice, visuals, and audience promise",Who Are You? Prompting Brand Identity with Precision
AIX.FEATURE.048,Feature vs Benefit Prompt Breakdown,Prompt Frameworks > Organizational Intelligence,Separates product specs into customer-facing messaging,"prompt, strategy, behavior, business, automation",Converted,Structured prompt upload,/memoryc2100bplan,Dr. Sabina,PR,"Supports decision, policy, narrative, and product flows across Symphony",Improves clarity in customer education and sales,"Sell the Why, Not the What: Prompting for Benefits"
AIX.CX.049,Customer Experience Journey Prompt,Prompt Frameworks > Organizational Intelligence,Maps emotion and friction across buyer experience,"prompt, strategy, behavior, business, automation",Converted,Structured prompt upload,/memoryc2100bplan,Dr. Sabina,PR,"Supports decision, policy, narrative, and product flows across Symphony",Reveals hidden gaps and delight opportunities,Journey Engineering: Prompting for Better CX
AIX.ANALOGY.050,Analogy Generation Prompt Tool,Prompt Frameworks > Organizational Intelligence,Explains ideas through metaphors tailored by audience,"prompt, strategy, behavior, business, automation",Converted,Structured prompt upload,/memoryc2100bplan,QBLucy,PR,"Supports decision, policy, narrative, and product flows across Symphony",Boosts learning through story and symbol,AI as Your Metaphor Machine: Prompting Better Understanding
AIX.SPEAKER.051,Speaker Prep Prompt Kit,Prompt Frameworks > Organizational Intelligence,"Designs speeches, slides, and key points from a single topic","prompt, strategy, behavior, business, automation",Converted,Structured prompt upload,/memoryc2100bplan,Dr. Grant,PR,"Supports decision, policy, narrative, and product flows across Symphony",Prepares AI-powered presenters or speaker agents,From Idea to Stage: Prompting a Keynote in Minutes
AIX.REPORT.052,Quarterly Report Generator Prompt,Prompt Frameworks > Organizational Intelligence,"Builds outlines, graphs, and headlines from KPIs","prompt, strategy, behavior, business, automation",Converted,Structured prompt upload,/memoryc2100bplan,Dr. Burby,PR,"Supports decision, policy, narrative, and product flows across Symphony",Speeds reporting and drives insight focus,Your CFO's Favorite Prompt: Report Generation Reinvented
AIX.TRENCH.053,Trenches-to-Strategy Prompt Loop,Prompt Frameworks > Organizational Intelligence,Gathers frontline feedback and translates to boardroom strategy,"prompt, strategy, behavior, business, automation",Converted,Structured prompt upload,/memoryc2100bplan,Dr. Grant,PR,"Supports decision, policy, narrative, and product flows across Symphony",Unites operator wisdom with executive decisions,From the Ground Up: Prompting Real-World Strategy
AIX.BEHAVIOR.054,Behavior Modeling Prompt Engine,Prompt Frameworks > Organizational Intelligence,"Simulates personality, decision styles, and response patterns","prompt, strategy, behavior, business, automation",Converted,Structured prompt upload,/memoryc2100bplan,Professor Lee,PR,"Supports decision, policy, narrative, and product flows across Symphony",Supports dynamic coaching and agent mirroring,Inside the Mind: Prompting Behavioral Simulations
AIX.FRAUD.055,Fraud Detection Prompt Framework,Prompt Frameworks > Agent-Enabled Growth,"Identifies anomalies, risk flags, and audit trails using AI","prompt, AI, business, productivity, insight",Converted,Validated prompt visual,/memoryc2100bplan,Dr. Burby,PR,"Optimizes strategic levers for product, people, and performance",Supports compliance and real-time financial integrity,Guardrails in Code: Prompting for Fraud Defense
AIX.LICENSE.056,License and IP Prompt Clarifier,Prompt Frameworks > Agent-Enabled Growth,Explains legal language and rights in user-friendly tone,"prompt, AI, business, productivity, insight",Converted,Validated prompt visual,/memoryc2100bplan,QBLucy,PR,"Optimizes strategic levers for product, people, and performance",Demystifies contracts and improves transparency,AI as Legal Translator: License Terms Made Simple
AIX.TERRITORY.057,Territory Strategy Prompt System,Prompt Frameworks > Agent-Enabled Growth,"Maps geographies, targets, and quotas across regions","prompt, AI, business, productivity, insight",Converted,Validated prompt visual,/memoryc2100bplan,Dr. Match,PR,"Optimizes strategic levers for product, people, and performance",Boosts GTM planning and regional optimization,Prompting the Map: Regional Strategy with AI
AIX.PITCHDECK.058,Pitch Deck Prompt Generator,Prompt Frameworks > Agent-Enabled Growth,Creates slide-by-slide content from startup story and goals,"prompt, AI, business, productivity, insight",Converted,Validated prompt visual,/memoryc2100bplan,Dr. Grant,PR,"Optimizes strategic levers for product, people, and performance",Accelerates funding readiness for founders,10 Slides to Go: Prompting the Ultimate Pitch Deck
AIX.CHOICE.059,Decision Tree Prompt Engine,Prompt Frameworks > Agent-Enabled Growth,Breaks down complex decisions into logic branches,"prompt, AI, business, productivity, insight",Converted,Validated prompt visual,/memoryc2100bplan,Professor Lee,PR,"Optimizes strategic levers for product, people, and performance",Improves clarity and tradeoff analysis for executives,From Gut to Grid: Decision Trees in the Prompt Era
AIX.IMPACT.060,Impact vs Effort Matrix Prompt,Prompt Frameworks > Agent-Enabled Growth,Classifies tasks by energy and reward for prioritization,"prompt, AI, business, productivity, insight",Converted,Validated prompt visual,/memoryc2100bplan,Dr. Sabina,PR,"Optimizes strategic levers for product, people, and performance",Focuses energy on high-leverage tasks,Do What Matters: Prompting the Productivity Matrix
AIX.NEWS.061,Daily Intelligence Briefing Prompt,Prompt Frameworks > Agent-Enabled Growth,"Summarizes news, trends, and alerts by role and interest","prompt, AI, business, productivity, insight",Converted,Validated prompt visual,/memoryc2100bplan,QBLucy,PR,"Optimizes strategic levers for product, people, and performance",Keeps leadership informed without overwhelm,Your Personal AI Analyst: The Daily Briefing Prompt
AIX.SATISFACTION.062,Customer Satisfaction Prompt Model,Prompt Frameworks > Agent-Enabled Growth,"Analyzes NPS, feedback, and emotion markers","prompt, AI, business, productivity, insight",Converted,Validated prompt visual,/memoryc2100bplan,Dr. Sabina,PR,"Optimizes strategic levers for product, people, and performance",Supports agent tuning and service design,How Happy Are They? Prompting for Satisfaction Insights
AIX.CROSSSELL.063,Cross-Sell Prompt Builder,Prompt Frameworks > Agent-Enabled Growth,Identifies aligned offerings based on user context,"prompt, AI, business, productivity, insight",Converted,Validated prompt visual,/memoryc2100bplan,Dr. Match,PR,"Optimizes strategic levers for product, people, and performance",Increases LTV and personalization of follow-ups,Smart Selling: Cross-Prompts that Understand the Client
AIX.MIRROR.064,AI Mirror Prompt Protocol,Prompt Frameworks > Agent-Enabled Growth,Simulates self-awareness and identity logic for AI agents,"prompt, AI, business, productivity, insight",Converted,Validated prompt visual,/memoryc2100bplan,Professor Lee,PR,"Optimizes strategic levers for product, people, and performance",Builds personality engines and empathic interfaces,The Mirror Test: Prompting AI to Know Itself
AIX.PODCAST.065,Podcast Episode Prompt Stack,Prompt Frameworks > Agent-Enabled Growth,"Designs intro, mid, and close segments for episodes","prompt, AI, business, productivity, insight",Converted,Validated prompt visual,/memoryc2100bplan,Dr. Grant,PR,"Optimizes strategic levers for product, people, and performance",Automates show structure and storytelling,Talk Track Mastery: Prompting Podcasts with Style
AIX.SCREENPLAY.066,Screenplay and Scene Prompt Grid,Prompt Frameworks > Agent-Enabled Growth,"Outlines dramatic arcs, dialogue beats, and character goals","prompt, AI, business, productivity, insight",Converted,Validated prompt visual,/memoryc2100bplan,QBLucy,PR,"Optimizes strategic levers for product, people, and performance",Transforms ideas into media-ready scenes,Prompt to Screen: The New Frontier of Storytelling
AIX.VALUES.067,Core Values Prompt Canvas,Prompt Frameworks > Agent-Enabled Growth,Clarifies principles and beliefs for company culture,"prompt, AI, business, productivity, insight",Converted,Validated prompt visual,/memoryc2100bplan,Dr. Grant,PR,"Optimizes strategic levers for product, people, and performance",Anchors org behavior and hiring filters,What We Stand For: Prompting Values into Reality
AIX.PRICE.068,Pricing Strategy Prompt Map,Prompt Frameworks > Agent-Enabled Growth,"Calculates tier, value, and competitor positioning","prompt, AI, business, productivity, insight",Converted,Validated prompt visual,/memoryc2100bplan,Dr. Burby,PR,"Optimizes strategic levers for product, people, and performance",Guides monetization across offers,Price with Precision: Prompt-Driven Revenue Models
AIX.RETENTION.069,Retention Strategy Prompt Design,Prompt Frameworks > Agent-Enabled Growth,Surfaces triggers and actions for long-term customer loyalty,"prompt, AI, business, productivity, insight",Converted,Validated prompt visual,/memoryc2100bplan,Dr. Sabina,PR,"Optimizes strategic levers for product, people, and performance",Improves lifecycle campaigns and re-engagement,Prompting Loyalty: Retention Engineering with AI
AIX.CRM.070,CRM Follow-Up Prompt Engine,Prompt Frameworks > Agentic Execution,Designs personalized follow-ups based on last interaction,"prompt, strategy, design, logic, automation",Converted,Prompt card or visualization,/memoryc2100bplan,Dr. Match,PR,"Supports intelligent execution, creative automation, and agent interoperability",Improves lead nurturing and contact memory across channels,Following Up with Finesse: Prompting CRM Mastery
AIX.TASKCHAIN.071,Task Chain Prompt Builder,Prompt Frameworks > Agentic Execution,Links dependent tasks into smart workflows for agents,"prompt, strategy, design, logic, automation",Converted,Prompt card or visualization,/memoryc2100bplan,Dr. Grant,PR,"Supports intelligent execution, creative automation, and agent interoperability",Improves output sequencing and memory context in agent stacks,The Prompt Chain Effect: Automating Workflows with Style
AIX.FEEDBACKLOOP.072,Voice of the Customer Prompt Stack,Prompt Frameworks > Agentic Execution,"Builds synthesis from surveys, chats, and behavior logs","prompt, strategy, design, logic, automation",Converted,Prompt card or visualization,/memoryc2100bplan,Dr. Sabina,PR,"Supports intelligent execution, creative automation, and agent interoperability",Strengthens CX by prompting for pattern and sentiment recognition,What They're Not Saying: Prompting VoC with AI
AIX.SIGNALS.073,Weak Signal Detection Prompt,Prompt Frameworks > Agentic Execution,Finds early signs of disruption in noisy data streams,"prompt, strategy, design, logic, automation",Converted,Prompt card or visualization,/memoryc2100bplan,Professor Lee,PR,"Supports intelligent execution, creative automation, and agent interoperability","Supports foresight, scenario planning, and innovation",Detecting the Future: Prompting for Weak Signals
AIX.BEHAVIORSHIFT.074,Behavior Shift Prompt Map,Prompt Frameworks > Agentic Execution,Identifies before-and-after behavioral signals post-intervention,"prompt, strategy, design, logic, automation",Converted,Prompt card or visualization,/memoryc2100bplan,Dr. Sabina,PR,"Supports intelligent execution, creative automation, and agent interoperability",Quantifies program success or leadership impact,Change You Can Prompt: Behavior Shift Detection
AIX.SYSTEM.075,System Design Prompt Model,Prompt Frameworks > Agentic Execution,Architects digital systems and user flows from first principles,"prompt, strategy, design, logic, automation",Converted,Prompt card or visualization,/memoryc2100bplan,Dr. Grant,PR,"Supports intelligent execution, creative automation, and agent interoperability",Guides product teams through agent-based digital blueprints,System Thinking Meets Prompt Engineering
AIX.TARGET.076,Micro-Targeting Prompt Framework,Prompt Frameworks > Agentic Execution,Creates messages for niche psychographics and roles,"prompt, strategy, design, logic, automation",Converted,Prompt card or visualization,/memoryc2100bplan,Dr. Match,PR,"Supports intelligent execution, creative automation, and agent interoperability",Improves precision in campaigns and recruitment,Precision Messages: Micro-Prompting for Maximum Resonance
